year_played,balls,strikes,ball_wOBA,called_strike_wOBA,double_wOBA,foul_strike_wOBA,hit_by_pitch_wOBA,home_run_wOBA,out_wOBA,single_wOBA,swinging_strike_wOBA,triple_wOBA
2023,0,2,0.037277606,-0.195651224,1.048348776,0,0.530348776,1.808348776,-0.195651224,0.687348776,-0.195651224,1.373348776
2023,1,0,0.069421218,-0.064540603,0.869480229,-0.064540603,0.351480229,1.629480229,-0.374519771,0.508480229,-0.064540603,1.194480229
2023,1,1,0.056913431,-0.077050337,0.934020832,-0.077050337,0.416020832,1.694020832,-0.309979168,0.573020832,-0.077050337,1.259020832
2023,1,2,0.044476593,-0.23292883,1.01107117,0,0.49307117,1.77107117,-0.23292883,0.65007117,-0.23292883,1.33607117
2023,2,0,0.134910747,-0.077048391,0.800059011,-0.077048391,0.282059011,1.560059011,-0.443940989,0.439059011,-0.077048391,1.125059011
2023,2,1,0.118811611,-0.089487176,0.877107401,-0.089487176,0.359107401,1.637107401,-0.366892599,0.516107401,-0.089487176,1.202107401
2023,2,2,0.109240625,-0.277405423,0.966594577,0,0.448594577,1.726594577,-0.277405423,0.605594577,-0.277405423,1.291594577
2023,3,0,0.117148264,-0.093147526,0.665148264,-0.093147526,0.147148264,1.425148264,-0.578851736,0.304148264,-0.093147526,0.990148264
2023,3,1,0.21029579,-0.099058163,0.75829579,-0.099058163,0.24029579,1.51829579,-0.48570421,0.39729579,-0.099058163,1.08329579
2023,3,2,0.309353952,-0.386646048,0.857353952,0,0.339353952,1.617353952,-0.386646048,0.496353952,-0.386646048,1.182353952
2024,0,0,0.04750644,-0.056480479,0.92026299,-0.056480479,0.40226299,1.68026299,-0.32373701,0.55926299,-0.056480479,1.24526299
2024,0,1,0.040387847,-0.072757728,0.976743468,-0.072757728,0.458743468,1.736743468,-0.267256532,0.615743468,-0.072757728,1.301743468
2024,0,2,0.036945986,-0.194498803,1.049501197,0,0.531501197,1.809501197,-0.194498803,0.688501197,-0.194498803,1.374501197
2024,1,0,0.072934642,-0.063599071,0.87275655,-0.063599071,0.35475655,1.63275655,-0.37124345,0.51175655,-0.063599071,1.19775655
2024,1,1,0.057175483,-0.07619959,0.936355621,-0.07619959,0.418355621,1.696355621,-0.307644379,0.575355621,-0.07619959,1.261355621
2024,1,2,0.043952997,-0.231444789,1.012555211,0,0.494555211,1.772555211,-0.231444789,0.651555211,-0.231444789,1.337555211
2024,2,0,0.12886454,-0.07935823,0.799821908,-0.07935823,0.281821908,1.559821908,-0.444178092,0.438821908,-0.07935823,1.124821908
2024,2,1,0.118062067,-0.089422076,0.879180137,-0.089422076,0.361180137,1.639180137,-0.364819863,0.518180137,-0.089422076,1.204180137
2024,2,2,0.108805612,-0.275397786,0.968602214,0,0.450602214,1.728602214,-0.275397786,0.607602214,-0.275397786,1.293602214
2024,3,0,0.122957367,-0.090160703,0.670957367,-0.090160703,0.152957367,1.430957367,-0.573042633,0.309957367,-0.090160703,0.995957367
2024,3,1,0.21311807,-0.098678532,0.76111807,-0.098678532,0.24311807,1.52111807,-0.48288193,0.40011807,-0.098678532,1.08611807
2024,3,2,0.311796602,-0.384203398,0.859796602,0,0.341796602,1.619796602,-0.384203398,0.498796602,-0.384203398,1.184796602
