year_played,bb_bucket,out,single,double,triple,home_run
2022,20-30deg: 95-100mph,0.648581229,0.014031805,0.210788899,0.01933271,0.107265357
2022,20-30deg: <90mph,0.587030139,0.34185574,0.064341348,0.006772773,0
2022,30-40deg: 100-105mph,0.506447831,0.001758499,0.034583822,0.014067995,0.443141852
2022,30-40deg: 105+mph,0.180030257,0.001512859,0.019667171,0.003025719,0.795763994
2022,30-40deg: 90-95mph,0.942107644,0.000904568,0.026232474,0.003618272,0.027137042
2022,30-40deg: 95-100mph,0.803415244,0.001249479,0.028321533,0.009995835,0.157017909
2022,30-40deg: <90mph,0.838124638,0.134285163,0.024117307,0.003087015,0.000385877
2022,40-50deg: 100-105mph,0.901162791,0.001937984,0.013565891,0.001937984,0.081395349
2022,40-50deg: 105+mph,0.659793814,0.010309278,0.010309278,0,0.319587629
2022,40-50deg: 90-95mph,0.997326203,0.000668449,0,0.002005348,0
2022,40-50deg: 95-100mph,0.978003384,0.000846024,0.008460237,0.002538071,0.010152284
2022,40-50deg: <90mph,0.92345854,0.060240964,0.016300496,0,0
2022,50+deg,0.9841949,0.010129235,0.005588543,0,8.73E-05
2023,10-20deg: 100-105mph,0.327993484,0.344284551,0.2916101,0.027966332,0.008145534
2023,10-20deg: 105+mph,0.225521162,0.277005685,0.415034744,0.02116235,0.061276058
2023,10-20deg: 90-95mph,0.336637438,0.520777735,0.125047655,0.0133435,0.004193671
2023,10-20deg: 95-100mph,0.336343818,0.446589847,0.198691996,0.018062909,0.000311429
2023,10-20deg: <90mph,0.292119089,0.63502627,0.070052539,0.002802102,0
2023,10deg: 100-105mph,0.539686458,0.404641402,0.051968893,0.003579805,0.000123442
2023,10deg: 105+mph,0.458983188,0.461818918,0.074741746,0.004456147,0
2023,10deg: 90-95mph,0.725449801,0.240900975,0.031589067,0.002060157,0
2023,10deg: 95-100mph,0.637516449,0.32264625,0.036487618,0.003349683,0
2023,10deg: <90mph,0.842207128,0.144390885,0.013000292,0.000401694,0
2023,20-30deg: 100-105mph,0.294916325,0.011998737,0.218503315,0.028418061,0.446163562
2023,20-30deg: 105+mph,0.049833887,0.009492169,0.112956811,0.010441386,0.817275748
2023,20-30deg: 90-95mph,0.859620815,0.019766035,0.094796289,0.0104881,0.015328762
2023,20-30deg: 95-100mph,0.656795511,0.013092269,0.178927681,0.021820449,0.12936409
2023,20-30deg: <90mph,0.594331267,0.340832595,0.059344553,0.005491585,0
2023,30-40deg: 100-105mph,0.499152063,0.000565291,0.028264556,0.013566987,0.458451102
2023,30-40deg: 105+mph,0.171548117,0.0027894,0.006973501,0.0041841,0.814504881
2023,30-40deg: 90-95mph,0.932765576,0,0.028686688,0.005378754,0.033168983
2023,30-40deg: 95-100mph,0.795140344,0.00209468,0.039379975,0.009635526,0.153749476
2023,30-40deg: <90mph,0.83909416,0.125744934,0.032379817,0.001986492,0.000794597
2023,40-50deg: 100-105mph,0.925233645,0,0.020560748,0.001869159,0.052336449
2023,40-50deg: 105+mph,0.639344262,0.008196721,0.016393443,0,0.336065574
2023,40-50deg: 90-95mph,0.992317542,0.00128041,0.004481434,0,0.001920615
2023,40-50deg: 95-100mph,0.966143683,0.000825764,0.012386457,0.003303055,0.01734104
2023,40-50deg: <90mph,0.921395235,0.055514616,0.02284451,0.00024564,0
2023,50+deg,0.987351919,0.00721475,0.005344259,8.91E-05,0
2024,10-20deg: 100-105mph,0.328925809,0.348642361,0.291985897,0.024304408,0.006141525
2024,10-20deg: 105+mph,0.231811934,0.278659441,0.407084523,0.020884289,0.061559813
