pitcher,pitcher_name,year,pitch_hand,n_pitches,team_id,ball_angle,relative_release_ball_x,release_ball_z,relative_shoulder_x,shoulder_z
669796,"Hernandez, Jose E.",2024,L,89,134,56,1.059925333,6.483497309,-0.227192479,4.609759285
673380,"Núñez, Dedniel",2024,R,494,121,39,-1.767841457,5.436947313,0.04703302,3.978091851
554340,"García, Yimi",2024,R,619,136,27,-2.4963459,5.176509986,-0.300611475,4.038446514
592741,"Shreve, Chasen",2024,L,10,115,36,1.745268052,5.907315147,-0.139063538,4.534378324
679525,"Marsh, Alec",2024,R,2160,118,32,-2.260562085,5.658143,-0.306731655,4.421233538
666214,"Wentz, Joey",2024,L,1224,134,50,1.262759153,6.352115201,-0.348715166,4.452086177
676710,"Crawford, Kutter",2024,R,2822,111,48,-1.561941967,6.020011402,-0.078066514,4.391882444
622694,"Hernández, Elieser",2024,R,251,158,40,-1.53556796,5.289676346,-0.062081425,4.056503245
701542,"Warren, Will",2024,R,458,147,25,-2.107875947,5.657098366,-0.004258991,4.678213973
666215,"Whitley, Forrest",2024,R,94,117,38,-1.797695358,6.189283305,0.029943743,4.751484478
471911,"Carrasco, Carlos",2024,R,1688,114,36,-2.005008844,5.896606529,-0.136549742,4.551724024
656232,"Bielak, Brandon",2024,R,485,133,46,-1.656132504,6.208321636,0.012547022,4.503492767
605288,"Houser, Adrian",2024,R,1099,121,40,-1.898714084,5.874704282,-0.134309698,4.367848275
676969,"de Geus, Brett",2024,R,193,141,31,-2.119109626,5.974052285,-0.114714163,4.746927802
623465,"Phillips, Evan",2024,R,904,119,26,-2.121680704,5.261094749,-0.09404227,4.291960151
656234,"Bird, Jake",2024,R,656,115,21,-2.441565799,5.370889585,-0.255412299,4.547932248
657514,"Bernardino, Brennan",2024,L,857,111,18,2.355496755,4.981638687,0.236799395,4.278262094
676714,"Hughes, Brandon",2024,L,350,109,23,2.21740593,5.38722298,0.212690448,4.520414723
681066,"Bush, Ky",2024,L,328,145,48,1.372885811,6.286399672,-0.226346462,4.486914555
667755,"Soriano, José",2024,R,1737,108,36,-2.158328879,6.004498348,-0.249468996,4.615126197
670059,"Holderman, Colin",2024,R,869,134,29,-2.295927339,5.611428609,-0.253900442,4.487806713
543339,"Hudson, Daniel",2024,R,980,119,30,-2.263448653,5.503534289,-0.194185798,4.288460336
547179,"Lorenzen, Michael",2024,R,2091,118,43,-1.691673153,5.784721004,0.025535349,4.207241914
683627,"Molina, Anthony",2024,R,1042,115,51,-1.255232864,6.295222513,0.175270041,4.546622135
623211,"Brazobán, Huascar",2024,R,899,121,38,-2.050850257,5.858054979,0.00416381,4.237374734
528748,"Castellanos, Humberto",2024,R,186,109,18,-2.596389427,4.759473283,-0.491728896,4.091224811
657006,"Steele, Justin",2024,L,2046,112,46,1.695591097,6.124828776,0.105149876,4.489132183
594798,"deGrom, Jacob",2024,R,172,140,34,-2.037042919,5.612665589,-0.038635378,4.261145113
676974,"Meyer, Max",2024,R,967,146,46,-1.387634766,5.815530128,0.229547835,4.13346124
700270,"Diaz, Yilber",2024,R,469,109,43,-1.535034207,5.688708752,0.143794813,4.125259457
656240,"Blewett, Scott",2024,R,319,142,50,-1.277822656,6.26754611,0.1978937,4.535612334
547184,"Kelly, Michael",2024,R,470,133,36,-1.877693432,6.079024976,-0.003187197,4.703480685
690544,"Horn, Bailey",2024,L,303,111,42,1.452017728,5.745796537,-0.186731547,4.293502048
571760,"Heaney, Andrew",2024,L,2729,140,30,2.32499501,5.027775065,0.351409949,3.909991353
657265,"Strzelecki, Peter",2024,R,192,114,20,-2.674156524,4.950818849,-0.667253371,4.223029712
601713,"Pivetta, Nick",2024,R,2387,111,56,-0.967506789,6.813600939,0.317282713,4.877896872
671345,"Foley, Jason",2024,R,922,116,31,-2.293212846,5.693970976,-0.158302033,4.416536037
682610,"Muñoz, Roddery",2024,R,1485,146,38,-1.725879829,5.696855261,0.184450979,4.216806211
623474,"Herget, Jimmy",2024,R,189,144,1,-2.954822502,4.93623711,-0.633373825,4.910772765
689266,"Dodd, Dylan",2024,L,34,144,45,1.662660601,6.019232129,-0.027042749,4.299804522
608371,"Sims, Lucas",2024,R,885,111,38,-1.656555268,5.688119882,0.087927718,4.318566519
543859,"Tonkin, Michael",2024,R,1403,142,13,-2.951275271,5.194822511,-0.61960092,4.647921442
676979,"Crochet, Garrett",2024,L,2366,145,38,1.985827852,6.10035677,0.059159021,4.617518447
656756,"Montgomery, Jordan",2024,L,1929,109,46,1.628417102,6.603678677,-0.087617015,4.853465584
664948,"Misiewicz, Anthony",2024,L,30,147,56,1.022044907,6.164041296,-0.256795113,4.26636041
572020,"Paxton, James",2024,L,1708,111,42,1.924845383,6.051588108,0.111541867,4.399527987
660853,"De Los Santos, Enyel",2024,R,1116,145,25,-2.459063771,5.451593627,-0.293127813,4.448780314
663158,"Suarez, Robert",2024,R,975,135,46,-1.378781661,6.225546229,0.251435499,4.549182248
669302,"Gilbert, Logan",2024,R,3037,136,44,-1.497928792,5.825721451,0.179630044,4.212092778
694646,"McDermott, Chayce",2024,R,82,110,42,-1.706748627,5.528499663,-0.02479671,3.998797021
571510,"Boyd, Matthew",2024,L,669,114,26,2.566731898,5.454420223,0.350944042,4.369880329
543351,"Jackson, Jay",2024,R,453,142,32,-1.950365694,5.709095054,0.04913496,4.460236076
660600,"Paredes, Enoli",2024,R,319,112,43,-1.888261737,5.093379196,-0.177698047,3.525737138
671096,"Abbott, Andrew",2024,L,2333,113,45,1.647072837,5.8626436,0.105195782,4.319956516
641656,"Hamilton, Ian",2024,R,619,147,40,-1.627730439,5.95396157,0.070952751,4.518121255
666745,"Brito, Jhony",2024,R,619,135,55,-0.954071915,6.149233826,0.497226701,4.102267994
542585,"Cisnero, José",2024,R,313,108,27,-2.321511382,5.376174565,-0.204621493,4.295717695
689017,"Knack, Landon",2024,R,1149,119,53,-1.150137733,5.796884851,0.203578479,3.998586263
641401,"Brogdon, Connor",2024,R,97,119,33,-1.981382816,6.016268309,-0.022343144,4.727519743
680570,"Rodriguez, Grayson",2024,R,1869,110,38,-1.817157688,5.593082182,0.055452274,4.148739274
608379,"Wacha, Michael",2024,R,2602,118,52,-1.261187532,6.520928224,0.163908518,4.727319871
669308,"Reynolds, Sean",2024,R,225,135,41,-1.62815177,6.473294608,0.120037176,4.974653739
657277,"Webb, Logan",2024,R,3199,137,22,-2.664115738,4.978340332,-0.51491363,4.103702513
676477,"Whitlock, Garrett",2024,R,320,111,29,-2.27722771,5.464808905,-0.30776584,4.351205802
680573,"Woods Richardson, Simeon",2024,R,2295,142,47,-1.286927453,6.420271888,0.295036649,4.733629991
686973,"Varland, Louie",2024,R,901,142,41,-1.921659098,5.532719115,-0.232498515,4.054341265
641149,"Parsons, Wes",2024,R,148,114,37,-2.121099189,5.67981353,-0.272108738,4.26786695
519293,"Smith, Will",2024,L,673,118,45,1.524650596,6.481464453,-0.117335527,4.812258293
608638,"Chargois, JT",2024,R,529,136,28,-2.470234192,5.378946112,-0.41954583,4.309618001
592767,"Smyly, Drew",2024,L,1015,112,52,1.434418235,6.630520669,-0.07906936,4.720323114
663423,"Thornton, Trent",2024,R,1139,136,35,-1.958852572,5.184234171,-0.166242861,3.929796979
657024,"Swanson, Erik",2024,R,667,141,51,-1.438931265,6.120999008,-0.068992964,4.427801111
664192,"Lucchesi, Joey",2024,L,179,121,45,1.820846886,5.961576281,0.173832945,4.312728583
674944,"Guenther, Sean",2024,L,256,116,45,1.666433369,5.596523801,0.122262149,4.059762241
681857,"Olson, Reese",2024,R,1840,116,39,-1.963339084,6.020583364,-0.063579537,4.505623486
671106,"Allen, Logan",2024,L,1664,114,45,1.332608528,5.376109015,-0.228844125,3.835641287
641154,"López, Pablo",2024,R,2985,142,38,-2.100356985,5.583127053,-0.215706265,4.093779043
681347,"Burrows, Mike",2024,R,68,134,50,-1.135712859,6.38745847,0.350394194,4.608723096
519043,"Moore, Matt",2024,L,854,108,44,1.677761666,6.376403333,-0.079909931,4.687556898
669060,"Wilson, Bryse",2024,R,1643,158,46,-1.767649603,5.788803848,-0.145632429,4.121161212
678020,"Halvorsen, Seth",2024,R,178,115,41,-1.736837057,5.593018564,-0.110085766,4.176282946
592773,"Stanek, Ryne",2024,R,1002,121,46,-1.37870929,6.296719614,0.317268974,4.563745533
663941,"Beck, Tristan",2024,R,242,137,45,-1.760324939,6.052090971,-0.095942877,4.397256819
671109,"Eder, Jake",2024,L,45,145,35,2.201647125,5.658744643,0.23815799,4.307622844
547973,"Chapman, Aroldis",2024,L,1128,134,52,1.325841094,6.102956265,-0.143627282,4.188267935
669062,"Miller, Erik",2024,L,1269,137,37,1.953448708,6.388957235,-0.006170084,4.911736635
663687,"Harris, Hogan",2024,L,1213,133,49,1.615878669,5.887532989,0.097228329,4.117371629
671111,"Peralta, Sammy",2024,L,282,145,12,2.777082339,4.671923875,0.584896449,4.202041367
672391,"Ort, Kaleb",2024,R,366,117,44,-1.623537551,5.846636182,0.027332255,4.279164478
