Pitches,str-icr,wstr-icr
5,0.2229918037124965,0.27881765616839804
25,0.10416245834526752,0.1289795879095861
50,0.07433463417617284,0.09235870231321175
75,0.06236538591450235,0.0767556338473747
100,0.05629541834703645,0.06867854443503818
125,0.04927870372360021,0.06067688324111896
150,0.04646093073678137,0.056221440259037525
175,0.04386294316225574,0.05444543648427734
200,0.04194151383804429,0.05104111573848614
225,0.03953862629357014,0.04990524954563224
250,0.039007787838732086,0.047758389097773364
275,0.03749358987790352,0.04586478696859536
300,0.03676065023018938,0.04416375673230865
325,0.03553038559524076,0.043420781188647964
350,0.0340396519446672,0.04238466338841351
375,0.034214848884209524,0.04166056295946092
400,0.03261350067363106,0.040204726443933136
425,0.03259424496671853,0.040138433745514755
450,0.03242951015364094,0.03895818576268494
475,0.03144448559660808,0.037397515216004366
500,0.030705479393835763,0.03804378790853713
525,0.03069358288594329,0.03781105439097641
550,0.031079835903795643,0.03554770483643164
575,0.029967697939255362,0.036286610420057715
600,0.029756674477665255,0.03621722943424073
625,0.029943794353096756,0.03632114276395358
650,0.029725111014219374,0.03644781676029251
675,0.03004317212180317,0.03553052903173058
700,0.02889254829462919,0.03529407070365548
725,0.02891886615092639,0.034991559898467424
750,0.027921444359737962,0.03380976696578978
775,0.028115758158297775,0.033916805184878863
800,0.02770890650887226,0.03451340961621348
825,0.027947969664671553,0.03354499287667509
850,0.027435900300982825,0.033679966164941746
875,0.027489163435541385,0.03335419374746866
900,0.027455632076921626,0.03344185413342031
925,0.027159359250469656,0.033039189115167476
950,0.02701916401117292,0.03342146587154144
975,0.027157224984502626,0.03261509253051517
1000,0.02620363418098064,0.033048682891008666
1025,0.025818898612809983,0.03180420042182377
1050,0.026103462423344544,0.031596040185216626
1075,0.025618382199940486,0.030920221332060807
1100,0.026091475330881308,0.03219337986153676
1125,0.026009961356611797,0.03184590372992557
1150,0.026315456177775625,0.030953151658141467
1175,0.026031712178348945,0.03075194663849208
1200,0.02564739699119813,0.031791786304401465
1225,0.02557566585291388,0.030304978172824706
1250,0.025458044538590595,0.03062390019290584
1275,0.026150009435664662,0.0303839526375355
1300,0.02554148147828626,0.03087429862105009
1325,0.02535355003916549,0.030234368817529837
1350,0.025275105565805187,0.029890766648923338
1375,0.02539330979891782,0.02902741312332162
1400,0.02501911671209038,0.030903011666636712
1425,0.025494683884191252,0.030188880397168043
1450,0.02513158251603934,0.030969889971110758
1475,0.024597505590822053,0.029109317345044638
1500,0.024890733091367398,0.029841811169368803
1525,0.023798035380679945,0.028448125129395267
1550,0.024416829846986583,0.028649472154158376
1575,0.023882928717564374,0.02866916165609687
