Pitches,str-icr,wstr-icr
5,0.0037377357645761167,0.0896742601276719
25,0.1283762125606496,0.21374025719897105
50,0.17825227420861586,0.34019648802137864
75,0.2645411210297236,0.44385438143885964
100,0.3367160844922611,0.498450365760344
125,0.378825182662141,0.5355536229925288
150,0.4369494317380023,0.5840951802305666
175,0.44662460701708656,0.6266951191238203
200,0.4918131065575395,0.6602127399670709
225,0.5372604282393848,0.6902442941907987
250,0.5387525499272146,0.7070309569940014
275,0.5700586759036022,0.7177432553156299
300,0.5940670132149598,0.7452227904352128
325,0.6151936445373765,0.7610489703448651
350,0.6206171696051271,0.7757692656044856
375,0.6395072494658897,0.7878339315323399
400,0.6641325807534536,0.7997231704890655
425,0.6744570572293833,0.8080804360887722
450,0.6819485370714484,0.8138424882079617
475,0.6970583317917238,0.8271056206856454
500,0.7099965288770715,0.834137938466106
525,0.7283643651473513,0.8418021744823817
550,0.7230582076606882,0.8462809885027616
575,0.7421730594327082,0.8533608453318973
600,0.7419887695144598,0.8587632903222251
625,0.757083495834184,0.8628756762631444
650,0.7506781510704303,0.8690791642231332
675,0.7621094226665877,0.8723643095481731
700,0.7721127911577305,0.8753274265259708
725,0.7858760795890596,0.8841456852040144
750,0.7912309727441854,0.8854097508766521
775,0.7936789998435043,0.8879031595901868
800,0.7932280432276956,0.891866608917409
825,0.8007676908538988,0.8952494361926802
850,0.7999443383590042,0.8949898124674678
875,0.8154995250170415,0.902443161929392
900,0.8115747244141432,0.9037778544270608
925,0.8160908870502313,0.9064855556349459
950,0.8215743429233759,0.910823113448135
975,0.826217715493569,0.9100733588512523
1000,0.8254885810200266,0.9131478926840236
1025,0.837319071977322,0.9169211718504297
1050,0.8407876361669526,0.9175535287320792
1075,0.84761895268852,0.9205888169105334
1100,0.8463938959734257,0.9259088050110885
1125,0.8502020724596193,0.9261792567282291
1150,0.8534132897740847,0.9290681969954172
1175,0.8567999263255645,0.9302018041685435
1200,0.8608322387741609,0.9307499308739927
1225,0.8622120069875595,0.9342966688592101
1250,0.8665493576118964,0.9364062394188131
1275,0.8687743638703775,0.9357766680973529
1300,0.8667611033730139,0.9369864517546405
1325,0.8761119778791542,0.9371089208236776
1350,0.8740408209106106,0.9389088488919115
1375,0.8784056611235344,0.9390108965448118
1400,0.8803337808392011,0.9402744398313155
1425,0.881108917533954,0.9419499198929666
1450,0.8847478067495619,0.9426374199964116
1475,0.8828976992653275,0.9424656383246415
1500,0.8880703460214148,0.9442932760903376
1525,0.8891833120257214,0.9448993334059912
1550,0.8888207227455568,0.9454099441578558
1575,0.8880014071488234,0.9459124996610359
