,Season,PlayerId,MLBAMID,Name,Team,G,PA,DC WAR Proj,PA_scale,adj_PA,adj_WAR
0,2016,10155,545361,Mike Trout,LAA,149.72550201416016,667.1000061035156,8.568447784521918,0.9687318211036152,667.1000061035156,8.568447784521918
1,2016,11579,547180,Bryce Harper,PHI,138.68199920654297,596.5,6.556185574544225,0.8660558387347508,596.5,6.556185574544225
2,2016,11493,592518,Manny Machado,SDP,140.76000213623047,628.6000061035156,6.220891365649979,0.9127399658705541,628.6000061035156,6.22089136564998
3,2016,15429,592178,Kris Bryant,COL,147.78199768066406,644.8999938964844,5.42683504289308,0.9364455907226208,644.8999938964844,5.426835042893079
4,2016,9847,457705,Andrew McCutchen,PIT,147.67549896240234,652.0499877929688,5.405250325559564,0.9468440692464968,652.0499877929688,5.405250325559564
5,2016,13611,605141,Mookie Betts,LAD,148.5615005493164,676.6000061035156,5.178826915659473,0.9825479931741108,676.6000061035156,5.178826915659473
6,2016,4949,519317,Giancarlo Stanton,NYY,123.25500106811523,531.9500122070312,5.029456386210124,0.772178603103588,531.9500122070312,5.029456386210124
7,2016,9218,502671,Paul Goldschmidt,NYY,142.41400146484375,626.7999877929688,4.948581291728292,0.9101221382170216,626.7999877929688,4.948581291728292
8,2016,14162,621043,Carlos Correa,MIN,132.52899932861328,595.9500122070312,4.88504265860249,0.8652559728416637,595.9500122070312,4.885042658602489
9,2016,9777,571448,Nolan Arenado,STL,144.96649932861328,620.2999877929688,4.323464673512419,0.9006689678529983,620.2999877929688,4.323464673512419
10,2016,5417,514888,Jose Altuve,HOU,151.37000274658203,688.6000061035156,3.8107826950493116,1.0,688.6000061035156,3.8107826950493116
11,2016,9241,516782,Starling Marte,NYM,146.239501953125,627.7999877929688,3.7214129061830965,0.911576472119179,627.7999877929688,3.7214129061830965
12,2016,12916,596019,Francisco Lindor,NYM,147.2614974975586,661.6499938964844,3.6329279733385613,0.9608056835837578,661.6499938964844,3.6329279733385613
13,2016,5361,518692,Freddie Freeman,LAD,141.79750061035156,614.7999877929688,3.470963282419282,0.8926701313911324,614.7999877929688,3.470963282419282
14,2016,12861,543685,Anthony Rendon,LAA,125.11599731445312,551.0499877929688,3.363594355302461,0.7999563451285961,551.0499877929688,3.363594355302461
15,2016,12161,593428,Xander Bogaerts,SDP,149.9929962158203,644.3500061035156,3.3287779980098904,0.9356457248295337,644.3500061035156,3.3287779980098904
16,2016,12856,543807,George Springer,TOR,120.83599853515625,538.2999877929688,3.191960282495095,0.7814135878760888,538.2999877929688,3.191960282495095
17,2016,11477,592885,Christian Yelich,MIL,134.39949798583984,595.6000061035156,3.1529642051216697,0.8647469470993588,595.6000061035156,3.1529642051216697
18,2016,13624,608369,Corey Seager,TEX,139.75800323486328,607.9500122070312,3.1145033767184236,0.8827079796675528,607.9500122070312,3.1145033767184236
19,2016,7304,521692,Salvador Perez,KCR,129.27349853515625,518.8999938964844,2.9562860000205164,0.7531995190507844,518.8999938964844,2.9562860000205164
20,2016,11899,592626,Joc Pederson,TEX,138.75650024414062,575.6000061035156,2.9221068196569995,0.8356602690562102,575.6000061035156,2.9221068196569995
21,2016,7739,518595,Travis d'Arnaud,LAA,101.1780014038086,409.5500030517578,2.466027509919126,0.5941681201646938,409.5500030517578,2.466027509919126
22,2016,16478,656941,Kyle Schwarber,PHI,134.59450149536133,561.4500122070312,2.4231074528225958,0.8150814532172322,561.4500122070312,2.4231074528225958
23,2016,16376,624424,Michael Conforto,LAD,139.83599853515625,572.1499938964844,2.397252884715029,0.8306427993406676,572.1499938964844,2.397252884715029
24,2016,10324,542303,Marcell Ozuna,ATL,134.32600021362305,558.5,2.378562043902832,0.8107911504527684,558.5,2.378562043902832
25,2016,12552,553993,Eugenio Suárez,ARI,136.8134994506836,563.4500122070312,2.1704131575472116,0.8179901210215471,563.4500122070312,2.1704131575472116
26,2016,5275,465041,Francisco Cervelli,MIA,93.58649826049805,370.8999938964844,2.0983679234538695,0.5379581015314844,370.8999938964844,2.0983679234538695
27,2016,8001,434670,Hanley Ramirez,CLE,114.84749984741211,476.75,2.0700320094298235,0.6918993539513983,476.75,2.0700320094298235
28,2016,14161,621439,Byron Buxton,MIN,104.53300094604492,435.5500030517578,1.9624933280521515,0.631980801620787,435.5500030517578,1.9624933280521515
29,2016,10243,545341,Randal Grichuk,ARI,127.33549880981445,506.3999938964844,1.8589050288674387,0.7350203452738164,506.3999938964844,1.8589050288674387
30,2016,2396,467793,Carlos Santana,CLE,141.22350311279297,609.6499938964844,1.8126393533209342,0.8851803206715714,609.6499938964844,1.8126393533209342
31,2016,13613,606466,Ketel Marte,ARI,130.5525016784668,571.6000061035156,1.810034808190549,0.8298429334475804,571.6000061035156,1.810034808190549
32,2016,12533,543760,Marcus Semien,TEX,144.05249786376953,601.9500122070312,1.7889803471289514,0.8739819762546082,601.9500122070312,1.7889803471289512
33,2016,11739,592663,J.T. Realmuto,PHI,115.38949966430664,456.3000030517578,1.728129450628416,0.6621582300905536,456.3000030517578,1.728129450628416
34,2016,13329,571875,Jake Lamb,SFG,114.17250061035156,466.5500030517578,1.6445784947528215,0.6770651525876673,466.5500030517578,1.6445784947528215
35,2016,5666,519023,Devin Mesoraco,NYM,82.86069869995117,319.9499969482422,1.6324798278925945,0.4638597936548381,319.9499969482422,1.6324798278925945
36,2016,12979,595879,Javier Báez,DET,103.31740188598633,424.8500061035156,1.5544315937015882,0.6164194333059773,424.8500061035156,1.5544315937015882
